Hotel Name,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Poum,NC,72.61,-20.2333,164.0167,Gîte kajeon
8,Yabassi,CM,74.84,4.457,9.9682,MOTEL FOMI
9,Naze,JP,77.4,28.3667,129.4833,オーベルジュ・アガルイ
13,Oranjestad,AW,87.75,12.524,-70.027,Divi Village Golf & Beach Resort
14,Hamilton,US,71.04,39.1834,-84.5333,Six Acres Bed & Breakfast
17,Rikitea,PF,73.9,-23.1203,-134.9692,People ThankYou
21,Canyon,US,91.47,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
22,Semnan,IR,74.19,35.5729,53.3971,Semnan Tourist Hotel
23,Chanute,US,81.91,37.6792,-95.4572,Guest House Motel Chanute
25,Cumberland,US,80.08,35.0502,-78.8664,American Eagle Inn
31,Katsuura,JP,70.2,35.1333,140.3,Katsuura Hotel Mikazuki
34,Abu Dhabi,AE,91.42,24.4667,54.3667,Ramee Garden Hotel Apartments
35,Kahului,US,87.82,20.8947,-156.47,Maui Seaside Hotel
37,Auki,SB,84.0,-8.7676,160.7034,Auki Motel
39,Atuona,PF,78.3,-9.8,-139.0333,Villa Enata
40,Lompoc,US,86.02,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
42,Vaini,TO,71.76,-21.2,-175.2,Keleti Beach Resort
44,Albany,US,72.43,42.6001,-73.9662,
45,Lizzano,IT,70.68,40.391,17.4476,La Nuova Fattoria - Lizzano (TA)
51,Fereydun Kenar,IR,73.89,36.6864,52.5225,Khezer Shahr Tourist Hotel
53,Liku,ID,75.76,-0.7275,119.8922,Wahyu
59,Puerto Ayora,EC,75.16,-0.7393,-90.3518,Finch Bay Galapagos Hotel
63,Burlington,US,76.82,39.8835,-74.6413,Delanco Camp
65,Yarada,IN,79.12,17.65,83.2667,Jeevan
67,Arlit,NE,91.13,18.7369,7.3853,Case de Passage De la Prefecture
68,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
69,Victoria,HK,84.38,22.2855,114.1577,Mini Hotel Central
70,Basco,PH,84.29,20.4487,121.9702,Nathaniel's Lodge
72,Mogadishu,SO,77.72,2.0371,45.3438,Hotel Juba
73,Portel,BR,79.95,-1.9356,-50.8211,Kitnet do Marcos
74,Cabo San Lucas,MX,94.6,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,San Andres,CO,80.62,12.5847,-81.7006,Hotel Arena Blanca
78,Kapaa,US,84.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
80,Graham,US,82.27,47.0529,-122.2943,Moxie Meadows Hostel
85,Boa Vista,BR,93.18,2.8197,-60.6733,Aipana Plaza Hotel
89,Ribeira Grande,PT,71.24,38.5167,-28.7,Quinta da Meia Eira
90,Vila Velha,BR,76.96,-20.3297,-40.2925,Quality Suites Vila Velha
92,Bengkulu,ID,75.58,-3.8004,102.2655,Grage Hotel Bengkulu
93,Sindgi,IN,74.32,16.9167,76.2333,Swaranambika nilaya
94,Ponta Do Sol,PT,70.43,32.6667,-17.1,Hotel do Campo
95,Guaruja,BR,74.91,-23.9931,-46.2564,Charme Hotel Guarujá
96,Hilo,US,83.93,19.7297,-155.09,Hilo Hawaiian Hotel
99,Rudbar,AF,78.75,30.15,62.6,
100,Kut Chap,TH,74.71,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
102,Rahuri,IN,73.45,19.3833,74.65,Vitthal Kamats
104,Saint George,US,94.53,37.1041,-113.5841,Best Western Plus Abbey Inn
106,Faanui,PF,78.69,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
107,Belmonte,BR,73.9,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
108,San Patricio,US,89.69,28.017,-97.5169,"Motel 6 Sinton, TX"
112,Biak,ID,75.2,-0.9131,122.8766,Penginapan Kim
114,Dingle,PH,76.3,10.9995,122.6711,SEGAYA PROPERTY
120,Alofi,NU,76.89,-19.0595,-169.9187,Taloa Heights
123,Conde,BR,76.46,-7.2597,-34.9075,Pousada Beija Flor
126,Cocula,MX,84.13,20.3652,-103.8222,Hotel Nandino
128,Touros,BR,79.7,-5.1989,-35.4608,INN NEW HORIZON
134,San Ciro De Acosta,MX,76.32,21.6333,-99.8167,Hotel Maria Isabel
137,Oussouye,SN,80.78,12.485,-16.5469,Auberge du Routard
138,Saint-Philippe,RE,71.15,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
139,Bethel,US,73.11,41.3712,-73.414,Courtyard by Marriott Danbury
140,Natal,BR,80.82,-5.795,-35.2094,Villa Park Hotel | Natal
143,Tautira,PF,82.42,-17.7333,-149.15,Pension Oaoa
144,Butaritari,KI,82.98,3.0707,172.7902,Isles Sunset Lodge
145,Neiafu,TO,75.88,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
146,Ariquemes,BR,81.95,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
148,Atambua,ID,72.18,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
149,Port Blair,IN,80.2,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
150,Kalmunai,LK,79.2,7.4167,81.8167,VS Villa
154,Shingu,JP,72.91,33.7333,135.9833,Shingu UI Hotel
159,Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
160,Cockburn Town,TC,85.96,21.4612,-71.1419,Osprey Beach Hotel
161,Luocheng,CN,72.77,29.3848,104.0286,Luocheng Hotel
162,Corinto,GR,72.68,37.9407,22.9573,Ephira Hotel
163,Qui Nhon,VN,76.68,13.7667,109.2333,Hoang Yen Canary Hotel
164,Kapit,MY,74.05,2.0167,112.9333,Hotel Meligai Kapit
165,Chaska,US,72.68,44.7894,-93.6022,Super 8 by Wyndham Chaska
172,Nalut,LY,83.88,30.3333,10.85,
175,Gigmoto,PH,81.09,13.7796,124.39,Cj's Travellers Inn
176,Kavaratti,IN,81.48,10.5669,72.642,Hotels in Lakshadweep Islands
177,Pacific Grove,US,86.58,36.6177,-121.9166,Lovers Point Inn
178,Dalsingh Sarai,IN,85.03,25.6667,85.8333,Hotel bhavya
179,Turaiyur,IN,81.66,11.1667,78.6167,Home
180,Jalu,LY,73.38,29.0331,21.5482,صاحبة الفخامة
182,Ugoofaaru,MV,81.57,5.6667,73.0,Ungoofaaru Inn
184,Grand Forks,US,79.59,47.9417,-97.4337,Warrior Inn
185,Dubai,AE,91.33,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
186,Pa Sang,TH,77.85,18.5262,98.9394,โรงแรม จามจุรี 99
189,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
190,Diu,IN,78.06,20.7141,70.9822,Hotel Relax Inn
196,Lorengau,PG,83.12,-2.0226,147.2712,Lorengau Harbourside Hotel
205,Mahebourg,MU,72.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
206,Kandla,IN,81.34,23.0333,70.2167,Ramju Chawala
207,Mount Isa,AU,71.37,-20.7333,139.5,ibis Styles Mt Isa Verona
209,Todos Santos,MX,94.1,23.45,-110.2167,Hotel California Todos Santos
212,Bambous Virieux,MU,72.21,-20.3428,57.7575,Casa Tia Villa
213,Banda Aceh,ID,78.42,5.5577,95.3222,Sulthan Hotel International
214,Tazmalt,DZ,84.06,36.3868,4.3989,Hôtel Numédia
217,Eureka,US,71.67,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
219,Zhuhai,CN,83.91,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
221,Barauna,BR,83.3,-5.08,-37.6167,Pousada Rancho do Sabiá
222,Ponta Delgada,PT,73.51,37.7333,-25.6667,Vila Nova Hotel
225,Hithadhoo,MV,81.84,-0.6,73.0833,Scoop Guest House
226,Monrovia,LR,78.8,6.3005,-10.7969,Sunset Inn
